log_line	diagnostic
607	./num/bignum.rs:163:74: error: no method named ‘count’ found in the current scope [E0599]
611	./num/bignum.rs:164:42: error: cannot find value ‘zeros’ in this scope [E0425]
614	./num/bignum.rs:164:27: error: cannot apply operator ‘-’ to types usize and <tyty::error>
617	./num/bignum.rs:165:41: error: cannot find value ‘end’ in this scope [E0425]
620	./num/bignum.rs:165:39: error: bounds not satisfied for <tyty::error> ‘Sized’ is not satisfied [E0277]
623	./num/bignum.rs:165:32: error: the type ‘& [u32]’ cannot be indexed by ‘RangeTo<Idx>’ [E0277]
626	./num/bignum.rs:167:20: error: cannot find value ‘nonzero’ in this scope [E0425]
629	./num/bignum.rs:167:20: error: failed to resolve receiver in MethodCallExpr
630	./num/bignum.rs:167:17: error: mismatched types, expected ‘bool’ but got ‘<tyty::error>’ [E0308]
636	./num/bignum.rs:174:29: error: cannot find value ‘nonzero’ in this scope [E0425]
639	./num/bignum.rs:174:29: error: failed to resolve receiver in MethodCallExpr
640	./num/bignum.rs:174:29: error: cannot apply operator ‘*’ to types <tyty::error> and usize
641	./num/bignum.rs:174:29: error: cannot apply operator ‘-’ to types <tyty::error> and <integer>
642	./num/bignum.rs:175:36: error: cannot find value ‘i’ in this scope [E0425]
645	./num/bignum.rs:175:36: error: failed to resolve type for argument
646	./num/bignum.rs:175:23: error: failed to lookup type to MethodCallExpr
649	./num/bignum.rs:175:23: error: mismatched types, expected ‘<tyty::error>’ but got ‘<integer>’ [E0308]
652	./num/bignum.rs:176:21: error: cannot find value ‘i’ in this scope [E0425]
655	./num/bignum.rs:176:21: error: cannot apply operator ‘-=’ to types <tyty::error> and <integer>
656	./num/bignum.rs:178:17: error: cannot find value ‘i’ in this scope [E0425]
659	./num/bignum.rs:178:17: error: cannot apply operator ‘+’ to types <tyty::error> and <integer>
660	./num/bignum.rs:188:21: error: expected <Projection=<<Projection=<I>::I=I REF: 280146::I=I REF: 280146>>::TRAIT_POSITION::Self=<Projection=<I>::I=I REF: 280146::I=I REF: 280146>>, found tuple
663	./num/bignum.rs:189:36: error: cannot find value ‘a’ in this scope [E0425]
666	./num/bignum.rs:189:35: error: expected reference type got <tyty::error>
669	./num/bignum.rs:189:34: error: failed to resolve receiver in MethodCallExpr
672	./num/bignum.rs:190:22: error: cannot find value ‘a’ in this scope [E0425]
675	./num/bignum.rs:190:21: error: expected reference type got <tyty::error>
678	./num/bignum.rs:190:26: error: cannot find value ‘v’ in this scope [E0425]
681	./num/bignum.rs:191:29: error: cannot find value ‘c’ in this scope [E0425]
684	./num/bignum.rs:226:21: error: expected <Projection=<<Projection=<I>::I=I REF: 280146::I=I REF: 280146>>::TRAIT_POSITION::Self=<Projection=<I>::I=I REF: 280146::I=I REF: 280146>>, found tuple
687	./num/bignum.rs:227:36: error: cannot find value ‘a’ in this scope [E0425]
690	./num/bignum.rs:227:35: error: expected reference type got <tyty::error>
693	./num/bignum.rs:227:34: error: failed to resolve receiver in MethodCallExpr
696	./num/bignum.rs:228:22: error: cannot find value ‘a’ in this scope [E0425]
699	./num/bignum.rs:228:21: error: expected reference type got <tyty::error>
702	./num/bignum.rs:228:26: error: cannot find value ‘v’ in this scope [E0425]
705	./num/bignum.rs:229:32: error: cannot find value ‘c’ in this scope [E0425]
708	./num/bignum.rs:244:35: error: expected reference type got <Projection=<<Projection=<I>::I=I REF: 280146::I=I REF: 280146>>::TRAIT_POSITION::Self=<Projection=<I>::I=I REF: 280146::I=I REF: 280146>>
711	./num/bignum.rs:244:34: error: failed to resolve receiver in MethodCallExpr
714	./num/bignum.rs:245:21: error: expected reference type got <Projection=<<Projection=<I>::I=I REF: 280146::I=I REF: 280146>>::TRAIT_POSITION::Self=<Projection=<I>::I=I REF: 280146::I=I REF: 280146>>
717	./num/bignum.rs:245:26: error: cannot find value ‘v’ in this scope [E0425]
720	./num/bignum.rs:246:29: error: cannot find value ‘c’ in this scope [E0425]
723	./num/bignum.rs:268:31: error: cannot apply operator ‘+’ to types <Projection=<<Projection=<I>::I=I REF: 280146::I=I REF: 280146>>::TRAIT_POSITION::Self=<Projection=<I>::I=I REF: 280146::I=I REF: 280146>> and usize
726	./num/bignum.rs:268:45: error: the type ‘[u32; 40]’ cannot be indexed by ‘<Projection=<<Projection=<I>::I=I REF: 280146::I=I REF: 280146>>::TRAIT_POSITION::Self=<Projection=<I>::I=I REF: 280146::I=I REF: 280146>>’ [E0277]
729	./num/bignum.rs:271:21: error: the type ‘[u32; 40]’ cannot be indexed by ‘<Projection=<<Projection=<I>::I=I REF: 280146::I=I REF: 280146>>::TRAIT_POSITION::Self=<Projection=<I>::I=I REF: 280146::I=I REF: 280146>>’ [E0277]
732	./num/bignum.rs:284:25: error: the type ‘[u32; 40]’ cannot be indexed by ‘<Projection=<<Projection=<I>::I=I REF: 280146::I=I REF: 280146>>::TRAIT_POSITION::Self=<Projection=<I>::I=I REF: 280146::I=I REF: 280146>>’ [E0277]
735	./num/bignum.rs:285:30: error: the type ‘[u32; 40]’ cannot be indexed by ‘<Projection=<<Projection=<I>::I=I REF: 280146::I=I REF: 280146>>::TRAIT_POSITION::Self=<Projection=<I>::I=I REF: 280146::I=I REF: 280146>>’ [E0277]
738	./num/bignum.rs:285:30: error: cannot apply operator ‘<<’ to types <tyty::error> and usize
739	./num/bignum.rs:285:65: error: cannot apply operator ‘-’ to types <Projection=<<Projection=<I>::I=I REF: 280146::I=I REF: 280146>>::TRAIT_POSITION::Self=<Projection=<I>::I=I REF: 280146::I=I REF: 280146>> and <integer>
742	./num/bignum.rs:285:55: error: cannot apply operator ‘>>’ to types <tyty::error> and usize
745	./num/bignum.rs:285:29: error: cannot apply operator ‘|’ to types <tyty::error> and <tyty::error>
748	./num/bignum.rs:331:25: error: expected <Projection=<<Projection=<I>::I=I REF: 280146::I=I REF: 280146>>::TRAIT_POSITION::Self=<Projection=<I>::I=I REF: 280146::I=I REF: 280146>>, found tuple
751	./num/bignum.rs:332:28: error: cannot find value ‘a’ in this scope [E0425]
754	./num/bignum.rs:332:28: error: mismatched types, expected ‘<tyty::error>’ but got ‘<integer>’ [E0308]
757	./num/bignum.rs:337:29: error: expected <Projection=<<Projection=<I>::I=I REF: 280146::I=I REF: 280146>>::TRAIT_POSITION::Self=<Projection=<I>::I=I REF: 280146::I=I REF: 280146>>, found tuple
760	./num/bignum.rs:338:42: error: cannot find value ‘a’ in this scope [E0425]
763	./num/bignum.rs:338:42: error: failed to resolve receiver in MethodCallExpr
764	./num/bignum.rs:339:33: error: cannot find value ‘i’ in this scope [E0425]
767	./num/bignum.rs:339:37: error: cannot find value ‘j’ in this scope [E0425]
770	./num/bignum.rs:339:33: error: cannot apply operator ‘+’ to types <tyty::error> and <tyty::error>
773	./num/bignum.rs:339:42: error: cannot find value ‘v’ in this scope [E0425]
776	./num/bignum.rs:340:37: error: cannot find value ‘c’ in this scope [E0425]
779	./num/bignum.rs:343:33: error: cannot find value ‘i’ in this scope [E0425]
